"SUB SISTEMAS","PROCESOS","ESTADO SITUACIONAL al 20-04-2026","ACCIONES  A ADOPTAR  A CORTO Y MEDIANO PLAZO 2026","PLAZO HASTA","RESPONSABLES","RR-LOGISTICOS","s/ APROX","DL 728","CAS","LOC SS","Total Req RH","S/ Req RH mensual","SUB TOTAL"
"GESTIÓN UGP","Gestión UGP
1.- Subproceso de Gestión Documental","Al corte 20/04/2026, el 1.- Subproceso de Gestión Documental presenta el siguiente estado situacional:

• Gestión documental: Se registra el estado de la gestión documental de la UGP, considerando recepción, derivación, atención, trazabilidad y archivo de documentos. Situaciones marcadas: Documentos recibidos pendientes de atención (cantidad: 1200) (obs.: SR); Se requiere trazabilidad documental (cantidad: 1200) (obs.: SR).

El diagnóstico deberá ser validado por la unidad competente.","Como acciones a adoptar durante 2026, corresponde: regularizar documentos pendientes; asignar responsables por expediente; actualizar control de derivaciones; consolidar reporte de documentos atendidos. Plazo: 31/12/2026. Responsables: UGP / Responsable del proceso. Prioridad: Alta.","31/12/2026","UGP / Responsable del proceso","Sistema informático - GFHDFHDS","25000","2","4","1","7","225386","250386"
"GESTIÓN UGP","Gestión UGP
1.- Subproceso de Gestión Documental","Al corte 20/04/2026, el 1.- Subproceso de Gestión Documental presenta el siguiente estado situacional:

• Gestión documental: Se registra el estado de la gestión documental de la UGP, considerando recepción, derivación, atención, trazabilidad y archivo de documentos. Situaciones marcadas: Documentos recibidos pendientes de atención (cantidad: 1200) (obs.: SR); Se requiere trazabilidad documental (cantidad: 1200) (obs.: SR).

El diagnóstico deberá ser validado por la unidad competente.","Como acciones a adoptar durante 2026, corresponde: regularizar documentos pendientes; asignar responsables por expediente; actualizar control de derivaciones; consolidar reporte de documentos atendidos. Plazo: 31/12/2026. Responsables: UGP / Responsable del proceso. Prioridad: Alta.","31/12/2026","UGP / Responsable del proceso","Sistema informático - GFHDFHDS","25000","2","4","1","7","225386","250386"
"GESTIÓN UGP","Gestión UGP
1.- Subproceso de Gestión Documental","Al corte 20/04/2026, el 1.- Subproceso de Gestión Documental presenta el siguiente estado situacional:

• Gestión documental: Se registra el estado de la gestión documental de la UGP, considerando recepción, derivación, atención, trazabilidad y archivo de documentos. Situaciones marcadas: Documentos recibidos pendientes de atención.

El diagnóstico deberá ser validado por la unidad competente.","Para el 1.- Subproceso de Gestión Documental, aún no se han seleccionado acciones.","31/12/2026","UGP / Responsable del proceso","No requiere","0","0","0","0","0","0","0"
"SS GESTIÓN DEL EMPLEO","Administración de Personas
7.- Subproceso de Control de Asistencia, Permisos, Licencias, Compensaciones Horarias, Vacaciones","Al corte 20/04/2026, el 7.- Subproceso de Control de Asistencia, Permisos, Licencias, Compensaciones Horarias, Vacaciones presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","15000","0","1","2","3","3300","18300"
"SS GESTIÓN DEL EMPLEO","Administración de Personas
6.- Subproceso de Administración de Legajos","Al corte 20/04/2026, el 6.- Subproceso de Administración de Legajos presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","8000","0","1","1","2","5500","13500"
"SS GESTIÓN DEL EMPLEO","Gestión de la Incorporación
2.- Subproceso de Reclutamiento - Selección de personal","Al corte 20/04/2026, el 2.- Subproceso de Reclutamiento - Selección de personal presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","12000","1","2","0","3","10200","22200"
"SS GESTIÓN DE COMPENSACIONES","Administración de Remuneraciones - Compensaciones
11.- Subproceso de Administración de Compensaciones, Remuneraciones y otros Ingresos","Al corte 20/04/2026, el 11.- Subproceso de Administración de Compensaciones, Remuneraciones y otros Ingresos presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","6000","1","1","0","2","8000","14000"
"SS GESTIÓN DE COMPENSACIONES","Administración de beneficios - pensiones
12.- Subproceso de Administración de Pensiones","Al corte 20/04/2026, el 12.- Subproceso de Administración de Pensiones presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","2500","0","1","0","1","3000","5500"
"GESTIÓN UGP","Gestión UGP
1.- Subproceso de Gestión Documental","Al corte 20/04/2026, el 1.- Subproceso de Gestión Documental presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","1000","0","1","0","1","2800","3800"
"GESTIÓN UGP","Gestión UGP
13.- Subproceso de Gestión Presupuestal - SIAF-RH","Al corte 20/04/2026, el 13.- Subproceso de Gestión Presupuestal - SIAF-RH presenta situaciones registradas para validación y seguimiento operativo.","Corresponde ejecutar acciones de regularización, seguimiento, coordinación interna y mejora del control documental.","31/12/2026","UGP / Responsable del proceso","Requerimiento operativo sujeto a evaluación técnica","3500","0","1","1","2","3700","7200"